매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,시간대_생활인구_수,평일_생활인구_평균,주말_생활인구_평균,집객시설_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,총_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
458398.4543,2021,발달상권,2120199,경복아파트교차로,2,3,15,996,641,3830,17,2,126,45,12,2,0,48,113813,,,10,,,,,,,,,53893,536023.0,79450.0,82665.0,83793.0,85302.0,82440.0,63609.0,58764.0,0.0,1.0,0.0,0.0,112742.0,37695.0,107042.0,147844.0,109812.0,64962.0,68667.0,0.0,4.0,0.0
251377.635,2021,발달상권,2120200,학동사거리,2,3,33,976,565,9363,14,7,45,27,9,8,3,77,211036,,,78,,,,,,,,,158231,1143987.0,156980.0,172129.0,174829.0,184560.0,183061.0,154247.0,118181.0,1.0,4.0,0.0,0.0,266597.0,86620.0,266648.0,307989.0,223370.0,130432.0,128927.0,0.0,4.0,0.0
230986.4377,2021,발달상권,2120201,도곡1동,2,3,15,1880,1108,11559,47,25,176,136,101,67,68,0,209845,,,36,,,,,,,,,226565,980124.0,147902.0,149044.0,149823.0,149682.0,144571.0,121949.0,117155.0,0.0,5.0,0.0,0.0,169293.0,137067.0,162445.0,206901.0,193695.0,132043.0,147971.0,0.0,6.0,0.0
86266.51998,2021,발달상권,2120202,압구정로데오역(압구정로데오),2,3,37,1843,793,11735,14,0,10,7,0,0,54,478,329115,,,77,,,,,,,,,287447,1907144.0,262380.0,279869.0,286281.0,297352.0,304978.0,269219.0,207064.0,1.0,4.0,2.0,0.0,265701.0,176537.0,437879.0,452594.0,348456.0,228549.0,263129.0,744607.0,3.0,1.0
161119.2993,2021,발달상권,2120203,강남구청역,2,3,39,1522,920,7726,26,0,74,62,67,9,7,119,327877,,,88,,,,,,,,,230261,1606724.0,237402.0,248050.0,252422.0,259392.0,253041.0,187823.0,168593.0,2.0,5.0,0.0,0.0,173251.0,173913.0,317761.0,384679.0,330675.0,195006.0,204691.0,1300832.0,6.0,1.0
238244.5503,2021,발달상권,2120204,르네상스호텔사거리,2,3,24,1595,1127,41471,20,2,230,362,69,200,32,11,280451,,,30,,,,,,,,,198545,1270345.0,197132.0,205730.0,206502.0,214550.0,204859.0,130026.0,111545.0,1.0,7.0,0.0,1.0,160960.0,100211.0,237406.0,332463.0,269473.0,169410.0,161380.0,0.0,3.0,0.0
169107.8083,2021,발달상권,2120205,매봉역,2,3,22,1116,592,13950,24,29,66,18,50,55,29,9,108848,,,23,,,,,,,,,98265,525276.0,79358.0,81926.0,82377.0,83482.0,82335.0,60297.0,55501.0,1.0,1.0,0.0,0.0,122443.0,53775.0,81879.0,106034.0,101416.0,80338.0,101833.0,0.0,6.0,0.0
185546.6801,2021,발달상권,2120206,개나리아파트,2,3,30,4039,2082,5280,53,5,212,159,68,60,57,289,241650,,,45,,,,,,,,,134932,1100891.0,163085.0,169520.0,171562.0,173998.0,169242.0,129808.0,123677.0,2.0,4.0,0.0,0.0,148412.0,162491.0,175775.0,236108.0,240958.0,136302.0,149256.0,0.0,8.0,0.0
220884.6994,2021,발달상권,2120207,선정릉역,2,3,43,6763,3891,12151,180,22,704,510,245,164,64,198,351598,,,72,,,,,,,,,331750,1658362.0,244793.0,250053.0,253183.0,258838.0,253454.0,205216.0,192825.0,4.0,4.0,0.0,0.0,323475.0,198231.0,297389.0,394096.0,338234.0,201714.0,228698.0,861090.0,10.0,1.0
227819.8895,2021,발달상권,2120208,청담사거리(청담동명품거리),2,3,36,3265,1913,10577,47,0,52,129,235,74,32,224,297824,,,93,,,,,,,,,346018,1452199.0,202484.0,214453.0,218085.0,221678.0,224504.0,200386.0,170610.0,5.0,7.0,0.0,0.0,331336.0,141772.0,260549.0,332856.0,280004.0,198018.0,239000.0,0.0,8.0,0.0
207280.6938,2021,발달상권,2120209,"강남구청(청담역_8번, 강남세무서)",2,3,24,1374,671,8984,20,20,31,85,16,33,44,227,107932,,,75,,,,,,,,,166132,533973.0,77690.0,80015.0,81740.0,83061.0,82227.0,68136.0,61104.0,4.0,5.0,0.0,0.0,134148.0,86539.0,68010.0,94107.0,109517.0,75368.0,100431.0,0.0,4.0,0.0
221831.1732,2021,발달상권,2120210,선릉역,2,3,88,4780,3339,48780,94,25,683,736,101,116,33,19,922256,,,150,,,,,,,,,377990,4385208.0,662419.0,687047.0,693472.0,719216.0,698892.0,492740.0,431421.0,1.0,11.0,0.0,0.0,360433.0,529243.0,775403.0,1044045.0,886287.0,591785.0,558443.0,3047327.0,6.0,1.0
96950.32536,2021,발달상권,2120211,도성초등학교,2,3,15,1638,726,984,23,3,65,52,30,57,50,81,180583,,,27,,,,,,,,,72591,977712.0,135733.0,138993.0,141413.0,142632.0,143177.0,146483.0,129282.0,0.0,1.0,0.0,0.0,72437.0,297483.0,119943.0,126954.0,189962.0,122277.0,121095.0,0.0,4.0,0.0
